category,date,newspaper,timestamp,title,url
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:35.772981,Fresh start for CAPS United,https://www.heraldonline.co.zw/fresh-start-for-caps-united/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:37.937349,Paramount Rugby League set to kick off in Manicaland,https://www.heraldonline.co.zw/paramount-rugby-league-set-to-kick-off-in-manicaland/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:39.737000,How Tongogara United are kicking down barriers with football,https://www.heraldonline.co.zw/how-tongogara-united-are-kicking-down-barriers-with-football/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:41.620461,Historic Test will transform cricket – Houghton,https://www.heraldonline.co.zw/historic-test-will-transform-cricket-houghton/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:45.451542,Zifa in landmark humanitarian leap,https://www.heraldonline.co.zw/zifa-in-landmark-humanitarian-leap/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:45.468196,Tagara confident  of a bigger NAAZ team,https://www.heraldonline.co.zw/tagara-confident-of-a-bigger-naaz-team/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:48.292713,Motor racing back at Donnybrook,https://www.heraldonline.co.zw/motor-racing-back-at-donnybrook/?from=herald
Arts/Culture/Celebrities,"March 11, 2025",The Herald,2025-05-10T16:49:49.560172,Julian King appreciates women in new song,https://www.heraldonline.co.zw/julian-king-appreciates-women-in-new-song/?from=herald
Politics,"May 9, 2025",The Herald,2025-05-10T16:49:50.469567,Retesting for all drivers,https://www.heraldonline.co.zw/retesting-for-all-drivers/?from=herald
Politics,"May 9, 2025",The Herald,2025-05-10T16:49:51.364916,Russians honour war heroes,https://www.heraldonline.co.zw/russians-honour-war-heroes/?from=herald
Politics,"May 9, 2025",The Herald,2025-05-10T16:49:53.189587,Construction of cement plant progressing well,https://www.heraldonline.co.zw/construction-of-cement-plant-progressing-well/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:49:54.362657,HCZ bid to challenge Supreme Court ruling dismissed,https://www.heraldonline.co.zw/hcz-bid-to-challenge-supreme-court-ruling-dismissed/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:49:56.816955,"Six arrested for smuggling 17,5 tonnes of T-shirts",https://www.heraldonline.co.zw/six-arrested-for-smuggling-175-tonnes-of-t-shirts/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:49:57.586542,Ambassador warns Zimbabweans about Saudi job risks,https://www.heraldonline.co.zw/ambassador-warns-zimbabweans-about-saudi-job-risks/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:49:58.691816,Azerbaijan MPs Meet Speaker,https://www.heraldonline.co.zw/azerbaijan-mps-meet-speaker/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:01.871966,Agro-tourism: Zimbabwe’s new frontier for prosperity and rural transformation . . . How Zimbabwe is blending agriculture and tourism to empower communities,https://www.heraldonline.co.zw/agro-tourism-zimbabwes-new-frontier-for-prosperity-and-rural-transformation-how-zimbabwe-is-blending-agriculture-and-tourism-to-empower-communities/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:02.858904,Minister Mhona mourns Gweru road accident victims,https://www.heraldonline.co.zw/minister-mhona-mourns-gweru-road-accident-victims-2/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:05.401607,Zim’s economic milestone: African Trade Centre underway,https://www.heraldonline.co.zw/zims-economic-milestone-african-trade-centre-underway/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:07.274795,Youths must lead in economic transformation: VP Mohadi,https://www.heraldonline.co.zw/youths-must-lead-in-economic-transformation-vp-mohadi/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:08.523351,"Harare collects millions, but no service delivered",https://www.heraldonline.co.zw/harare-collects-millions-but-no-service-delivered/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:10.643721,"Bring innovation back home, Russia-based students urged",https://www.heraldonline.co.zw/bring-innovation-back-home-russia-based-students-urged/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:12.791274,"President shares stage with Putin, Xi in Moscow . . . as Russia showcases military prowess",https://www.heraldonline.co.zw/president-shares-stage-with-putin-xi-in-moscow-as-russia-showcases-military-prowess/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T16:50:14.230751,Digitalisation drive critical to investment promotion-ZIDA,https://www.heraldonline.co.zw/digitalisation-drive-critical-to-investment-promotion-zida/?from=herald
